Ranked Choice Voting Results: General Election - 11/08/2022
City Auditor - Berkeley (RCV)

Round 1

Candidate	Votes	Percentage
JENNY WONG	36949	100.00 %
CONTINUING BALLOTS TOTAL	36949	
BLANKS	9296	
EXHAUSTED	0	
OVERVOTES	12	
REMAINDER POINTS	0	
SUSPENDED	839	
NON TRANSFERRABLE TOTAL	10147	
