state,year,type,office,juris,dist,url
CA,2020,general,,San Francisco,At_Large,https://www.sfelections.org/results/20201103/data/20201201/summary.pdf
CA,2020,general,,San Francisco,At_Large,https://www.sfelections.org/results/20201103/data/20201201/CertificationLetterNov32020.pdf
CA,2020,general,,San Francisco,At_Large,https://www.sfelections.org/results/20201103/data/20201201/20201201_sov.pdf
CA,2020,general,,San Francisco,At_Large,https://www.sfelections.org/results/20201103/data/20201201/20201201_dsov.pdf
CA,2020,general,,San Francisco,At_Large,https://www.sfelections.org/results/20201103/data/RCV_Settings_Legend.pdf
CA,2020,general,Supervisor,San Francisco,At_Large,https://www.sfelections.org/results/20201103/data/20201201/d1/20201201_d1_short.pdf
CA,2020,general,Supervisor,San Francisco,At_Large,https://www.sfelections.org/results/20201103/data/20201201/d1/20201201_d1_detail.pdf
CA,2020,general,Supervisor,San Francisco,At_Large,https://www.sfelections.org/results/20201103/data/20201201/d3/20201201_d3_short.pdf
CA,2020,general,Supervisor,San Francisco,At_Large,https://www.sfelections.org/results/20201103/data/20201201/d3/20201201_d3_detail.pdf
CA,2020,general,Supervisor,San Francisco,At_Large,https://www.sfelections.org/results/20201103/data/20201201/d5/20201201_d5_short.pdf
CA,2020,general,Supervisor,San Francisco,At_Large,https://www.sfelections.org/results/20201103/data/20201201/d5/20201201_d5_detail.pdf
CA,2020,general,Supervisor,San Francisco,At_Large,https://www.sfelections.org/results/20201103/data/20201201/d7/20201201_d7_short.pdf
CA,2020,general,Supervisor,San Francisco,At_Large,https://www.sfelections.org/results/20201103/data/20201201/d7/20201201_d7_detail.pdf
CA,2020,general,Supervisor,San Francisco,At_Large,https://www.sfelections.org/results/20201103/data/20201201/d9/20201201_d9_short.pdf
CA,2020,general,Supervisor,San Francisco,At_Large,https://www.sfelections.org/results/20201103/data/20201201/d9/20201201_d9_detail.pdf
CA,2020,general,Supervisor,San Francisco,At_Large,https://www.sfelections.org/results/20201103/data/20201201/d11/20201201_d11_short.pdf
CA,2020,general,Supervisor,San Francisco,At_Large,https://www.sfelections.org/results/20201103/data/20201201/d11/20201201_d11_detail.pdf
CA,2020,general,,San Francisco,At_Large,https://www.sfelections.org/results/20201103/data/N20_DSuite_CVRExportFormat.pdf
CA,2020,general,,San Francisco,At_Large,https://www.sfelections.org/results/20201103/data/20201201/20201201_vbm.pdf
CA,2020,general,,San Francisco,At_Large,https://www.sfelections.org/results/20201103/data/20201201/20201201_pv.pdf
CA,2020,general,,San Francisco,At_Large,https://www.sfelections.org/results/20201103/data/20201201/20201201_cvr.pdf
CA,2020,general,,San Francisco,At_Large,https://www.sfelections.org/results/20201103/data/LogFileDescriptions.pdf
CA,2020,general,,San Francisco,At_Large,https://www.sfelections.org/results/20201103/data/SHA512_FAQ.pdf
CA,2020,general,,San Francisco,At_Large,https://www.sfelections.org/results/20200303/data/20200326/summary.pdf
CA,2020,general,,San Francisco,At_Large,https://www.sfelections.org/results/20200303/data/20200326/CertificationLetterMar32020.pdf
CA,2020,general,,San Francisco,At_Large,https://www.sfelections.org/results/20200303/data/20200326/20200326_sov.pdf
CA,2020,general,,San Francisco,At_Large,https://www.sfelections.org/results/20200303/data/20200326/20200326_dsov.pdf
CA,2020,primary,,San Francisco,At_Large,https://www.sfelections.org/results/20200303/data/DVS_PrimaryTurnout.pdf
CA,2020,general,,San Francisco,At_Large,https://www.sfelections.org/results/20200303/data/DSuite_CVRExportFormat.pdf
CA,2020,general,,San Francisco,At_Large,https://www.sfelections.org/results/20200303/data/20200326/20200326_vbm.pdf
CA,2020,general,,San Francisco,At_Large,https://www.sfelections.org/results/20200303/data/20200326/20200326_pv.pdf
CA,2020,general,,San Francisco,At_Large,https://www.sfelections.org/results/20200303/data/20200326/20200326_cvr.pdf
CA,2020,general,,San Francisco,At_Large,https://www.sfelections.org/results/20200303/data/LogFileDescriptions.pdf
CA,2020,general,,San Francisco,At_Large,https://www.sfelections.org/results/20200303/data/SHA512_FAQ.pdf
CA,2019,general,,San Francisco,At_Large,https://www.sfelections.org/results/20191105/data/20191125/summary.pdf
CA,2019,general,,San Francisco,At_Large,https://www.sfelections.org/results/20191105/data/20191125/CertificationLetterNov2019.pdf
CA,2019,general,,San Francisco,At_Large,https://www.sfelections.org/results/20191105/data/20191125/20191125_sov.pdf
CA,2019,general,,San Francisco,At_Large,https://www.sfelections.org/results/20191105/data/20191125/20191125_dsov.pdf
CA,2019,general,,San Francisco,At_Large,https://www.sfelections.org/results/20191105/data/RCV_Settings_Legend.pdf
CA,2019,general,Mayor,San Francisco,Citywide,https://www.sfelections.org/results/20191105/data/20191125/mayor/20191125_mayor_short.pdf
CA,2019,general,Mayor,San Francisco,Citywide,https://www.sfelections.org/results/20191105/data/20191125/mayor/20191125_mayor_detail.pdf
CA,2019,general,Supervisor,San Francisco,At_Large,https://www.sfelections.org/results/20191105/data/20191125/d5/20191125_d5_short.pdf
CA,2019,general,Supervisor,San Francisco,At_Large,https://www.sfelections.org/results/20191105/data/20191125/d5/20191125_d5_detail.pdf
CA,2019,general,District Attorney,San Francisco,Citywide,https://www.sfelections.org/results/20191105/data/20191125/da/20191125_da_short.pdf
CA,2019,general,District Attorney,San Francisco,Citywide,https://www.sfelections.org/results/20191105/data/20191125/da/20191125_da_detail.pdf
CA,2019,general,,San Francisco,At_Large,https://www.sfelections.org/results/20191105/data/DSuite_CVRExportFormat.pdf
CA,2019,general,,San Francisco,At_Large,https://www.sfelections.org/results/20191105/data/20191125/20191125_vbm.pdf
CA,2019,general,,San Francisco,At_Large,https://www.sfelections.org/results/20191105/data/20191125/20191125_pv.pdf
CA,2019,general,,San Francisco,At_Large,https://www.sfelections.org/results/20191105/data/20191125/20191125_cvr.pdf
CA,2019,general,,San Francisco,At_Large,https://www.sfelections.org/results/20191105/data/LogFileDescriptions.pdf
CA,2019,general,,San Francisco,At_Large,https://www.sfelections.org/results/20191105/data/SHA512_FAQ.pdf
CA,2018,general,,San Francisco,At_Large,https://www.sfelections.org/results/20181106/data/20181127/summary.pdf
CA,2018,general,,San Francisco,At_Large,http://www.sfelections.org/results/20181106/data/20181127/CertificationLetterNov2018.pdf
CA,2018,general,,San Francisco,At_Large,https://www.sfelections.org/results/20181106/data/20181127/20181127_sov.pdf
CA,2018,general,,San Francisco,At_Large,https://www.sfelections.org/results/20181106/data/20181127/assessor/20181127_assessor.pdf
CA,2018,general,,San Francisco,At_Large,https://www.sfelections.org/results/20181106/data/20181127/defender/20181127_defender.pdf
CA,2018,general,Supervisor,San Francisco,At_Large,https://www.sfelections.org/results/20181106/data/20181127/d2/20181127_d2.pdf
CA,2018,general,Supervisor,San Francisco,At_Large,https://www.sfelections.org/results/20181106/data/20181127/d4/20181127_d4.pdf
CA,2018,general,Supervisor,San Francisco,At_Large,https://www.sfelections.org/results/20181106/data/20181127/d6/20181127_d6.pdf
CA,2018,general,Supervisor,San Francisco,At_Large,https://www.sfelections.org/results/20181106/data/20181127/d8/20181127_d8.pdf
CA,2018,general,Supervisor,San Francisco,At_Large,https://www.sfelections.org/results/20181106/data/20181127/d10/20181127_d10.pdf
CA,2018,general,,San Francisco,At_Large,https://www.sfelections.org/results/20181106/data/BallotImageRCVhelp.pdf
CA,2018,general,,San Francisco,At_Large,https://www.sfelections.org/results/20181106/data/20181127/20181127_neigh.pdf
CA,2018,general,,San Francisco,At_Large,http://www.sfelections.org/results/20181106/data/20181127/20181127_vbm.pdf
CA,2018,general,,San Francisco,At_Large,http://www.sfelections.org/results/20181106/data/20181127/20181127_pv.pdf
CA,2018,general,,San Francisco,At_Large,http://www.sfelections.org/results/20181106/data/20181127/20181127_cvr.pdf
CA,2018,general,,San Francisco,At_Large,https://www.sfelections.org/results/20181106/data/SHA512_FAQ.pdf
CA,2018,general,,San Francisco,At_Large,https://www.sfelections.org/results/20180605/data/20180627/summary.pdf
CA,2018,general,,San Francisco,At_Large,https://www.sfelections.org/results/20180605/data/20180627/CertificationLetterJun2018.pdf
CA,2018,general,,San Francisco,At_Large,https://www.sfelections.org/results/20180605/data/20180627/20180627_sov.pdf
CA,2018,general,Mayor,San Francisco,Citywide,https://www.sfelections.org/results/20180605/data/20180627/mayor/20180627_mayor.pdf
CA,2018,general,Supervisor,San Francisco,At_Large,https://www.sfelections.org/results/20180605/data/20180627/d8/20180627_d8.pdf
CA,2018,general,,San Francisco,At_Large,https://www.sfelections.org/results/20180605/data/BallotImageRCVhelp.pdf
CA,2018,general,,San Francisco,At_Large,https://www.sfelections.org/results/20180605/data/20180627/20180627_neigh.pdf
CA,2018,general,,San Francisco,At_Large,https://www.sfelections.org/results/20180605/data/20180627/20180627_vbm.pdf
CA,2018,general,,San Francisco,At_Large,https://www.sfelections.org/results/20180605/data/20180627/20180627_pv.pdf
CA,2018,general,,San Francisco,At_Large,https://www.sfelections.org/results/20180605/data/20180627/20180627_cvr.pdf
CA,2018,general,,San Francisco,At_Large,https://www.sfelections.org/results/20180605/data/SHA512_FAQ.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108w/data/BallotImageRCVhelp.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108w/data/SHA512_FAQ.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161206/CertificationLetterNov2016.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161206/summary.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161206/20161206_sov.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161206/20161206_vbm.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161206/20161206_pv.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161206/d1/20161206_d1.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161206/d3/20161206_d3.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161206/d5/20161206_d5.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161206/d7/20161206_d7.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161206/d9/20161206_d9.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161206/d11/20161206_d11.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161206/20161206_neigh.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161201/summary.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161201/20161201_psov.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161201/d1/20161201_d1.pdf
