election_id,year,state,office,dist,juris,election_type,prm_party,n_cands,n_rounds,date,level,source_file,validation_tier,validation_flags
VT_2006_G_Burlington_At_Large_mayor,2006,VT,mayor,At_Large,Burlington,general,,6,2,2006-03-07,municipal,VT_2006_Burlington_Mayor.txt,1,cands_lt_round_total_gap
VT_2009_G_Burlington_At_Large_mayoral,2009,VT,mayoral,At_Large,Burlington,general,,5,3,2009-03-03,municipal,VT_2009_Burlington_Mayor.txt,0,
