election_id,year,state,office,dist,juris,election_type,prm_party,n_cands,n_rounds,date,level,source_file
VT_2006_general_Burlington_At_Large_mayor,2006,VT,mayor,At_Large,Burlington,general,,6,2,03/07/2006,municipal,VT_2006_Burlington_Mayor.txt
VT_2009_general_Burlington_At_Large_mayoral,2009,VT,mayoral,At_Large,Burlington,general,,5,3,03/03/2009,municipal,VT_2009_Burlington_Mayor.txt
